filed_at,company_name,form_type,url
2024-01-02T08:53:40-05:00,CACTI ASSET MANAGEMENT LLC,13F-HR,https://www.sec.gov/Archives/edgar/data/1452208/000110465924000137/xslForm13F_X02/primary_doc.xml
2024-01-02T07:39:10-05:00,"T-Mobile US, Inc.",SC 13D/A,https://www.sec.gov/Archives/edgar/data/946770/000095015724000003/sc13d_a.htm
2024-01-02T07:39:10-05:00,DEUTSCHE TELEKOM AG,SC 13D/A,https://www.sec.gov/Archives/edgar/data/946770/000095015724000003/sc13d_a.htm
2023-12-29T16:58:34-05:00,Glencore AG,3,https://www.sec.gov/Archives/edgar/data/1032383/000114036123060223/xslF345X02/form3.xml
2023-12-29T16:58:34-05:00,GLENCORE INTERNATIONAL AG,3,https://www.sec.gov/Archives/edgar/data/1032383/000114036123060223/xslF345X02/form3.xml
2023-12-29T16:58:34-05:00,Li-Cycle Holdings Corp.,3,https://www.sec.gov/Archives/edgar/data/1032383/000114036123060223/xslF345X02/form3.xml
2023-12-29T16:58:34-05:00,Glencore plc,3,https://www.sec.gov/Archives/edgar/data/1032383/000114036123060223/xslF345X02/form3.xml
2023-12-29T16:57:36-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035409/ubs_424b2-18552.htm
2023-12-29T16:34:15-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035408/ubs_424b2-18446.htm
2023-12-29T16:13:35-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444623004357/tc8711721f_1fwp.htm
2023-12-29T16:13:30-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444623004356/tc8711721i_0fwp.htm
2023-12-29T16:13:17-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444623004355/tc8711720f_1fwp.htm
2023-12-29T16:13:13-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444623004354/tc8711720i_0fwp.htm
2023-12-29T16:13:07-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444623004353/tc8711719f_1fwp.htm
2023-12-29T16:13:03-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000111444623004352/tc8711719i_0fwp.htm
2023-12-29T15:57:08-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035382/ubs_424b2-18500.htm
2023-12-29T15:47:56-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035373/ubs_424b2-18407.htm
2023-12-29T14:54:41-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035329/ubs_424b2-18501.htm
2023-12-29T12:50:14-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035276/ubs_424b2-18492.htm
2023-12-29T12:45:47-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035275/ubs_424b2-18486.htm
2023-12-29T11:49:57-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035249/ubs_424b2-18495.htm
2023-12-29T11:45:35-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035240/ubs_424b2-18493.htm
2023-12-29T11:41:00-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035239/ubs_424b2-18494.htm
2023-12-29T11:30:38-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035236/ubs_424b2-18478.htm
2023-12-29T11:19:51-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035230/ubs_424b2-18469.htm
2023-12-29T11:17:44-05:00,UBS AG,424B2,https://www.sec.gov/Archives/edgar/data/1114446/000183988223035228/ubs_424b2-18483.htm
